amostra,botao,bruto,pct,tempC,estado
0,0,0,0.00,0.00,NORMAL
1,0,0,0.00,0.00,NORMAL
2,0,0,0.00,0.00,NORMAL
3,0,0,0.00,0.00,NORMAL
4,0,0,0.00,0.00,NORMAL
5,0,0,0.00,0.00,NORMAL
6,0,0,0.00,0.00,NORMAL
7,0,0,0.00,0.00,NORMAL
8,0,0,0.00,0.00,NORMAL
9,0,0,0.00,0.00,NORMAL
10,0,0,0.00,0.00,NORMAL
11,0,0,0.00,0.00,NORMAL
12,0,0,0.00,0.00,NORMAL
13,0,0,0.00,0.00,NORMAL
14,0,0,0.00,0.00,NORMAL
15,0,0,0.00,0.00,NORMAL
16,0,0,0.00,0.00,NORMAL
17,0,0,0.00,0.00,NORMAL
18,0,0,0.00,0.00,NORMAL
19,0,0,0.00,0.00,NORMAL
20,0,0,0.00,0.00,NORMAL
21,0,0,0.00,0.00,NORMAL
22,0,0,0.00,0.00,NORMAL
23,0,0,0.00,0.00,NORMAL
24,0,0,0.00,0.00,NORMAL
25,0,0,0.00,0.00,NORMAL
26,0,0,0.00,0.00,NORMAL
27,0,0,0.00,0.00,NORMAL
28,0,0,0.00,0.00,NORMAL
29,0,0,0.00,0.00,NORMAL
30,0,0,0.00,0.00,NORMAL
31,0,0,0.00,0.00,NORMAL
32,0,0,0.00,0.00,NORMAL
33,0,0,0.00,0.00,NORMAL
34,0,0,0.00,0.00,NORMAL
35,0,0,0.00,0.00,NORMAL
36,0,0,0.00,0.00,NORMAL
37,0,0,0.00,0.00,NORMAL
38,0,0,0.00,0.00,NORMAL
39,0,0,0.00,0.00,NORMAL
40,0,0,0.00,0.00,NORMAL
41,0,0,0.00,0.00,NORMAL
42,0,0,0.00,0.00,NORMAL
43,0,0,0.00,0.00,NORMAL
44,0,0,0.00,0.00,NORMAL
45,0,0,0.00,0.00,NORMAL
46,0,0,0.00,0.00,NORMAL
47,0,0,0.00,0.00,NORMAL
48,0,0,0.00,0.00,NORMAL
49,0,0,0.00,0.00,NORMAL
50,0,0,0.00,0.00,NORMAL
51,0,0,0.00,0.00,NORMAL
52,0,0,0.00,0.00,NORMAL
53,0,0,0.00,0.00,NORMAL
54,0,0,0.00,0.00,NORMAL
55,0,0,0.00,0.00,NORMAL
56,0,0,0.00,0.00,NORMAL
57,0,0,0.00,0.00,NORMAL
